WABT_TYPE, BITSIZE, HARDCODED_TREE, DIRECT_CALL, ALIAS_VP8PARSEINTRAMODE, native_unchanged,nativesimd_unchanged,native,nativesimd,wasm,wasmsimd,native_unchanged_errorbar,nativesimd_unchanged_errorbar,native_errorbar,nativesimd_errorbar,wasm_errorbar,wasmsimd_errorbar
combined, false, false, false, false, 0.4545,0.3418,0.4822,0.3428,0.5487,0.3996,0.007009355733317021,0.0012778804871121966,0.0008387627714926949,0.0009366646719948178,0.0007904892142810928,0.0005775648612470877
combined, false, false, false, true, 0.4644,0.3433,0.4826,0.3439,0.5476,0.3975,0.00036287615891723613,0.0007927060690909876,0.0004299233995419244,0.0003905040822955281,0.0005030251097635505,0.00034835321967493615
combined, false, false, true, false, 0.4645,0.3433,0.4823,0.3436,0.5329,0.3762,0.0003443332886669702,0.00031719982411888587,0.0004334364184234973,0.00037977526526257975,0.0006829891657459266,0.0003477276278323227
combined, false, false, true, true, 0.4639,0.3434,0.4823,0.3435,0.5313,0.373,0.0007175064015852329,0.0008430539736576762,0.00038184228953711663,0.0003320437399848984,0.0005989730065967711,0.0004870572829166043
combined, false, true, false, false, 0.4637,0.3408,0.4816,0.3436,0.5384,0.3891,0.0005584412780701582,0.00187561041751465,0.0009059874963555695,0.00029322882635454326,0.0006609361776458116,0.00030148031619432763
combined, false, true, false, true, 0.4641,0.3439,0.483,0.3439,0.5349,0.3867,0.0007406069985598235,0.0005085478733351319,0.0003633591300193516,0.0005771549270936029,0.0006800945842694497,0.000459875909463915
combined, false, true, true, false, 0.4642,0.3446,0.4821,0.3425,0.5235,0.3666,0.000752042655565144,0.000845466974362004,0.0005333556081422972,0.00040272716031811677,0.0006526971696454297,0.0003836130287014166
combined, false, true, true, true, 0.4637,0.3434,0.4825,0.3427,0.5216,0.3641,0.0007573449810982675,0.0003221675512099741,0.00036669790377309247,0.0007162744970551306,0.0003914728490955003,0.0003367713145288255
combined, true, false, false, false, 0.4636,0.3433,0.4826,0.3426,0.5422,0.393,0.0009341503921379981,0.0003235165274798668,0.00037451487989552195,0.0005977628348354618,0.0004597509868052696,0.0005077463958513133
combined, true, false, false, true, 0.464,0.3431,0.4824,0.3428,0.5384,0.3889,0.0007473096339184786,0.0003305946832682932,0.00038717002860840416,0.0008035391976159378,0.0005819141475609401,0.00035254734359186924
combined, true, false, true, false, 0.4645,0.3426,0.4824,0.3429,0.5338,0.3694,0.0003145919746692775,0.0007672914611252955,0.0003881836509206767,0.000317858074916265,0.0004591101857197002,0.00038374650624159803
combined, true, false, true, true, 0.4648,0.3437,0.4824,0.3434,0.5296,0.3675,0.00030282295852614296,0.0003712021741301474,0.0009028394036681108,0.0004350785168098655,0.000669629348673776,0.00036400165919228363
combined, true, true, false, false, 0.4647,0.3429,0.4822,0.3438,0.5339,0.3821,0.0004042832735386877,0.000838129293505231,0.0007850491121076763,0.00038167351369021115,0.00040964157568088136,0.0008674074234691987
combined, true, true, false, true, 0.4646,0.3439,0.4824,0.3421,0.5291,0.3759,0.00036910873077127085,0.0003509700037790006,0.0005411071841482455,0.0007181847565948908,0.00045100499049053743,0.002040231081436093
combined, true, true, true, false, 0.4638,0.3436,0.4116,0.2155,0.3267,0.3604,0.0007284880806740852,0.0002496292015960361,0.018652611027226894,0.0015112564631353687,0.002772078108448986,0.001750112913049056
combined, true, true, true, true, 0.4643,0.3432,0.4827,0.3435,0.5204,0.3599,0.000529902259607223,0.0005325785457267511,0.0004093008948194477,0.000576869164565343,0.0005497202996931586,0.0002543385795083315
no_force_read, false, false, false, false, 0.4638,0.342,0.4823,0.3425,0.5779,0.4136,0.0009119440439753439,0.000905169053343949,0.00037870409292744753,0.0008220359413963409,0.00044414227568723033,0.0007125045221463136
no_force_read, false, false, false, true, 0.4647,0.3439,0.4823,0.3432,0.575,0.4129,0.0004132365403609344,0.00042647019686701285,0.0007392166137914274,0.0003284462224666793,0.00042407950843407306,0.0006851163307866237
no_force_read, false, false, true, false, 0.4647,0.3437,0.4825,0.3435,0.5468,0.3851,0.0003447101625775066,0.0003863393236862064,0.0003386593879588035,0.00036833127448420344,0.001629665530585633,0.0004537104355666789
no_force_read, false, false, true, true, 0.4645,0.3428,0.4826,0.3431,0.5483,0.3785,0.0004094615159283174,0.0007619155416655959,0.00038711002974810516,0.0008702699886574827,0.003245425602026559,0.00033979315902627047
no_force_read, false, true, false, false, 0.4644,0.3425,0.4825,0.3439,0.5675,0.4061,0.00030736895603098607,0.0006990638454390269,0.0003960567941729153,0.00036283508269852163,0.000830079556348921,0.00031741794028660245
no_force_read, false, true, false, true, 0.4648,0.3434,0.4826,0.3434,0.5634,0.4023,0.00047821615611947233,0.00041160121285177624,0.00031412095286102157,0.0003914333261435322,0.0006570372651251667,0.00041700144578823035
no_force_read, false, true, true, false, 0.4642,0.3434,0.4823,0.3425,0.537,0.3746,0.0008381620936687361,0.00043564504065508365,0.00034530302862695544,0.0007343815890185939,0.0004266902216633955,0.002369560638266313
no_force_read, false, true, true, true, 0.4641,0.3433,0.4821,0.3429,0.5353,0.3702,0.0009343341254041497,0.0002962127726998388,0.0003381263544578364,0.0004911485540091337,0.0004556474780030335,0.0002938912742029455
no_force_read, true, false, false, false, 0.4642,0.3435,0.4827,0.3427,0.5704,0.4044,0.0007877099973975197,0.0006385125679841275,0.000340438705163916,0.0007409833033135593,0.00048067257648993475,0.0004183289778203395
no_force_read, true, false, false, true, 0.4649,0.3435,0.4822,0.3438,0.5681,0.3991,0.00040119656948735196,0.0002682207837133223,0.000560383081378031,0.00046393257492759296,0.00037678583125109506,0.00057003282407798
no_force_read, true, false, true, false, 0.4645,0.3434,0.4817,0.3428,0.5454,0.3766,0.0003176800450966851,0.0002941679476886773,0.0005677713656783082,0.0008015466838031257,0.0012525579320040706,0.0007964031658023474
no_force_read, true, false, true, true, 0.4645,0.3437,0.482,0.3433,0.5391,0.3752,0.0004666956930039327,0.0003496573019626365,0.0007570050750716335,0.0006925136521549976,0.0003458550388453758,0.0008905254557666613
no_force_read, true, true, false, false, 0.4648,0.3438,0.4816,0.3435,0.5646,0.3952,0.00032434291469953436,0.00038012375339451947,0.0007620706508205807,0.00034757247540318127,0.0011735586839765793,0.0009124622826379418
no_force_read, true, true, false, true, 0.4639,0.3431,0.4826,0.3434,0.5565,0.3924,0.000726098516133713,0.0007022382808975124,0.00034499673739876073,0.00033319651128362526,0.0005930993476511441,0.00029321722233471246
no_force_read, true, true, true, false, 0.465,0.3431,0.4828,0.3444,0.5369,0.3742,0.000547003610471102,0.0006185837963913164,0.0009310607346349364,0.0008757185689327835,0.0007938028155656797,0.0004595384496541354
no_force_read, true, true, true, true, 0.465,0.3438,0.4821,0.343,0.5309,0.3667,0.000408552632053565,0.0003066263153038925,0.0007061923269418729,0.00033731725188767387,0.0007549815036946633,0.00045992936185324987
segue, false, false, false, false, 0.4641,0.3435,0.4827,0.3432,0.5627,0.4075,0.0006034213488189883,0.00028178283538176946,0.0004192311232922031,0.0003556021313061466,0.0006756469838918146,0.000405284230834555
segue, false, false, false, true, 0.464,0.3432,0.4827,0.3428,0.5606,0.4058,0.0006875076378523095,0.0007724479075435587,0.00034647750192776447,0.0005090941666590914,0.0005764356649180163,0.0003193224280039154
segue, false, false, true, false, 0.4638,0.3432,0.4825,0.3432,0.5435,0.3888,0.0007872347749693546,0.0003192659465167937,0.00038634812141519887,0.000775665610943272,0.0008099663666668974,0.0003874078905807303
segue, false, false, true, true, 0.4645,0.3432,0.4819,0.3428,0.5377,0.3838,0.0003524995139974262,0.00042014457082620565,0.0008260016996127532,0.0003280057274451814,0.000305929178896032,0.000778765336843148
segue, false, true, false, false, 0.4644,0.3433,0.4812,0.3433,0.5493,0.3954,0.00035392388045721784,0.0003969287513952717,0.0007457703876211711,0.0003482995071924832,0.0007959520800175136,0.00038191518416362655
segue, false, true, false, true, 0.4646,0.3429,0.482,0.3435,0.5448,0.3906,0.00036561474547023247,0.0007229380204743487,0.0006296984753581831,0.0003256080180944078,0.00045064979167513556,0.0006492449601571623
segue, false, true, true, false, 0.4646,0.3436,0.4816,0.3432,0.5251,0.3699,0.00034511620011084263,0.0003330212374688191,0.0007511154738997066,0.00027663625628155416,0.00033445387613714023,0.0003508855563915536
segue, false, true, true, true, 0.4637,0.3431,0.4826,0.3431,0.5225,0.372,0.0005451551546409319,0.0003117401690932935,0.0005722113396611796,0.00029836197902265746,0.0006350326448301689,0.0003604637982771934
segue, true, false, false, false, 0.4648,0.3437,0.4822,0.3438,0.5601,0.4039,0.0004144224483035344,0.0002949349212337497,0.0008976612158387222,0.00048428505687847756,0.0007834049039625877,0.00036254891847787137
segue, true, false, false, true, 0.4646,0.343,0.4824,0.3434,0.5579,0.4037,0.000374110969147981,0.0008545699290779026,0.00037383165557577675,0.00038858198670902973,0.0008238785523045023,0.00036580008111276624
segue, true, false, true, false, 0.4649,0.3434,0.4822,0.3435,0.5302,0.3857,0.00035987203208041115,0.0006851916692084281,0.000299981152916751,0.00028769901372788735,0.000762750055978192,0.0002635448715913584
segue, true, false, true, true, 0.464,0.3436,0.4828,0.3436,0.5277,0.3745,0.0007408328098196407,0.0004910146991046633,0.00046485701409426156,0.0003786712869397834,0.0004568954498627267,0.0004504585207845102
segue, true, true, false, false, 0.4643,0.3434,0.4822,0.3429,0.55,0.3928,0.000676120868982525,0.0003443887451168477,0.00040754489194120376,0.0005464251858069959,0.0007692702504903452,0.0002944622509539081
segue, true, true, false, true, 0.4644,0.3434,0.4825,0.3427,0.5477,0.3922,0.0008693082576635906,0.0003802238071881233,0.0003849884215620539,0.0008080159590008105,0.00044660658773749355,0.0002738677418024988
segue, true, true, true, false, 0.4638,0.3433,0.4831,0.3435,0.5279,0.3644,0.0007704789986550057,0.0003135960465228096,0.00046183539716975803,0.0003761286566000907,0.0006578983223112818,0.0004256304381366787
segue, true, true, true, true, 0.4645,0.3439,0.482,0.3436,0.5169,0.3707,0.0003728752244737054,0.0003367280184675049,0.00047294142440798304,0.0003800739062478846,0.0004409328942558527,0.000569731734078232
upstream, false, false, false, false, 0.4638,0.3434,0.4819,0.3435,0.5488,0.3998,0.0008075387016959881,0.00031204816682854083,0.0005406471311259658,0.0003402525399185903,0.00042686120078643815,0.0005886399322747489
upstream, false, false, false, true, 0.4649,0.3428,0.4824,0.3434,0.6048,0.4301,0.0005310528767408539,0.0007133750862514136,0.0008312507426985202,0.00029893646988334537,0.0006624822391859594,0.0009609431986608945
upstream, false, false, true, false, 0.4647,0.3367,0.4818,0.3434,0.576,0.3958,0.00035840520933567337,0.005346535033515189,0.0006039254505884156,0.00028171223185894355,0.0022047636344252903,0.0004884212353674797
upstream, false, false, true, true, 0.4647,0.3435,0.483,0.3435,0.5569,0.4027,0.00045670396535795875,0.0007093475731076302,0.0003906834057809867,0.00036412645721247127,0.0006698076490385321,0.0008987530264204954
upstream, false, true, false, false, 0.4646,0.3433,0.4829,0.3433,0.5982,0.4215,0.00031608916047283546,0.0007567500556395917,0.0004899256993882372,0.00029303239806511097,0.0009920449822011762,0.0003950541075533034
upstream, false, true, false, true, 0.4636,0.3436,0.4821,0.3424,0.5961,0.4172,0.0007608485265772272,0.0003214984971725535,0.0003258866617641622,0.0007203375487995367,0.0005264572627228987,0.00037214837448466576
upstream, false, true, true, false, 0.4642,0.3436,0.4821,0.3425,0.5519,0.3968,0.0006636640161375247,0.00029262783531304714,0.0006717559052097799,0.0005214795202114841,0.0005249872102452151,0.0003943983218977845
upstream, false, true, true, true, 0.4651,0.3437,0.4829,0.3432,0.5595,0.3778,0.00040780867466445555,0.0003750748155193075,0.000540764679826047,0.0005614899942868185,0.0005128190046975133,0.0006366119552592036
upstream, true, false, false, false, 0.4641,0.3432,0.4815,0.3435,0.5943,0.4247,0.00031457085449863273,0.0007385839809000101,0.0008853717936699336,0.0002972864866279309,0.00041427349598264807,0.001027146431099798
upstream, true, false, false, true, 0.464,0.3439,0.4819,0.3431,0.5901,0.419,0.0007060380156009196,0.00034756370184774226,0.0007269295940714228,0.0003426721088891339,0.00048071567042220684,0.0007747578181871437
upstream, true, false, true, false, 0.4643,0.3434,0.4817,0.3434,0.5604,0.3865,0.00033652513865589314,0.0003987875598545368,0.0005538189515108988,0.0003717531713311086,0.0009846687089147233,0.0003994163663199236
