WABT_TYPE, BITSIZE, HARDCODED_TREE, DIRECT_CALL, ALIAS_VP8PARSEINTRAMODE, native_unchanged,nativesimd_unchanged,native,nativesimd,wasm,wasmsimd,native_unchanged_errorbar,nativesimd_unchanged_errorbar,native_errorbar,nativesimd_errorbar,wasm_errorbar,wasmsimd_errorbar
combined, false, false, false, false, 0.5481,0.4023,0.5686,0.4059,0.646,0.4706,0.0013214473621951937,0.0022072165983368476,0.0012872874628355856,0.00030328045276001016,0.0021819245515864636,0.0012476609262304014
combined, false, false, false, true, 0.5483,0.406,0.569,0.406,0.6455,0.4688,0.0009817242983112607,0.00039334059350644174,0.0010638918301762556,0.000370138911334935,0.0013290216759944736,0.0011425019103404504
combined, false, false, true, false, 0.5479,0.4051,0.5707,0.4052,0.6292,0.4441,0.0010504608935204532,0.0012237429692287677,0.0005183968298108064,0.0007455524559715842,0.0008026113284805154,0.00027710720398430787
combined, false, false, true, true, 0.5475,0.406,0.5693,0.4019,0.627,0.4404,0.0010942612559093042,0.0004475047991509794,0.001188937823780447,0.0027932599851437498,0.0012528584295942043,0.00046100288502351044
combined, false, true, false, false, 0.5471,0.4045,0.5679,0.404,0.6337,0.4588,0.0012310517250986718,0.0003778436064313538,0.00010401225320023435,0.0002313670616938428,0.0009713043289011488,0.00019044696181130826
combined, false, true, false, true, 0.5475,0.4041,0.5676,0.4041,0.6277,0.4552,0.00019581550493687764,0.00012142061734231705,0.0008058310253690697,0.00018016742907640265,0.0011271835531536105,0.00034059784976296815
combined, false, true, true, false, 0.5479,0.4042,0.5678,0.4042,0.6151,0.4309,0.00028760732985132795,0.00013387998553299793,9.820406452623888e-05,0.0003090140977877519,0.00036953715200305253,0.00023604654174213358
combined, false, true, true, true, 0.5478,0.4042,0.5681,0.4044,0.6116,0.4283,0.0010569062334548828,0.00012817830662586243,0.0011830957842612908,0.00033642329930578467,0.00018021311068609313,0.0003212217253582108
combined, true, false, false, false, 0.5473,0.4021,0.5676,0.4039,0.6401,0.4613,0.0012375491128478616,0.00167725810570642,5.923894078444358e-05,0.00013586467919452487,0.0012466590642593515,0.0008377357512649014
combined, true, false, false, true, 0.5436,0.3358,0.5617,0.4018,0.635,0.4568,0.003708759274091254,0.018015071862701227,0.006122241553677782,0.0016927995222411904,0.001075206585474332,0.0010560251252991837
combined, true, false, true, false, 0.5465,0.4043,0.5678,0.4038,0.6253,0.4347,0.0011709390630915341,0.00027277076239177333,0.0010978918180816043,0.00011225602550935975,0.0010517151783233831,0.0003710581356068079
combined, true, false, true, true, 0.5471,0.4057,0.5679,0.4045,0.622,0.4316,5.8522033637363795e-05,0.00015478958723308666,0.0008793293511325308,0.000366896597185522,5.1781366034715475e-05,0.00017738457329233797
combined, true, true, false, false, 0.5481,0.4042,0.5677,0.4045,0.6245,0.449,9.047039280164522e-05,0.00023462114590390863,0.0008163098137188371,0.0002715378220723388,0.0019994410080333095,0.0012294398797398503
combined, true, true, false, true, 0.5478,0.4035,0.568,0.4034,0.6203,0.4414,0.0002922404496210883,0.0011555392345134797,9.981221579071334e-05,0.0009445796363852457,0.00015520023526501532,0.0036052697471712727
combined, true, true, true, false, 0.5464,0.404,0.5681,0.4039,0.6106,0.4254,0.0012238414046289688,9.769972458615479e-05,0.000145282372513523,0.00014014100558854356,0.0002696499738940318,0.0011176159953339582
combined, true, true, true, true, 0.5472,0.4045,0.5681,0.4035,0.6108,0.4236,0.00012273018330768095,0.00038147174327996083,0.00016077711730022034,0.001110056385184768,0.0010736646041037518,0.00015715264579047855
no_force_read, false, false, false, false, 0.5471,0.4034,0.5684,0.4042,0.6783,0.487,0.001273104261399958,0.0011772741827829948,0.00045945257186076616,0.0001985058593195943,0.00022226166892580433,0.00017162872106595757
no_force_read, false, false, false, true, 0.5476,0.4038,0.5675,0.4041,0.6778,0.4862,0.00018373349514131304,0.0012878025191857074,0.0010683628141373975,0.0001953103603040698,0.0002398071689701416,0.0002682118160884668
no_force_read, false, false, true, false, 0.5469,0.4044,0.5682,0.4048,0.6441,0.4524,0.0011890625075420178,0.0013379737903577232,0.0001752025609642222,0.0004891685710683504,0.0002981492658666835,0.0009325235230559243
no_force_read, false, false, true, true, 0.5479,0.404,0.5681,0.4041,0.6407,0.4447,0.00029458991009805155,0.001279775473523219,0.00022275042057967273,0.0001854614908957209,0.00031729447948321786,0.0009291556253847951
no_force_read, false, true, false, false, 0.5471,0.4043,0.568,0.4042,0.6686,0.4807,9.058863862189488e-05,0.00013745612888634901,0.00013274218135365463,0.00014629611103943678,0.0008114077026994533,0.0025359054484646393
no_force_read, false, true, false, true, 0.5475,0.404,0.5683,0.4045,0.6618,0.4746,0.0001451117078776155,0.0001263225695548789,0.0013035466241939197,0.0012000413213828567,0.00018875111536791351,0.0008862584492953334
no_force_read, false, true, true, false, 0.5474,0.4045,0.5697,0.404,0.6324,0.4382,0.00015585413685136244,0.00020392421547696344,0.00033648163221160947,0.0001575794181557852,0.0004900951812765825,0.0003318270721165979
no_force_read, false, true, true, true, 0.5463,0.4046,0.5679,0.4041,0.6331,0.4364,0.0011503826203302526,0.0002753763862043134,0.00016778695921975181,0.00013654749462906223,0.00269473890142294,0.0002746131812970846
no_force_read, true, false, false, false, 0.5477,0.4044,0.568,0.4042,0.6701,0.4752,0.00017831374035671304,0.00033086856270953647,0.0002946783373442966,0.000234027080079478,0.0011490722786001628,0.00020741527725035602
no_force_read, true, false, false, true, 0.5476,0.4042,0.5683,0.4039,0.6673,0.4696,0.00024868218461998636,0.00029872138576906497,0.00038597568712631764,0.001012044388978644,0.0010561456216879037,0.00013392894620498842
